age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,job_satisfaction_score,age_group,hours_bin,daily_social_media_time_bin
23,Female,Health,5.2,Facebook,67,6.0,2.1,1.9,1.0,6.4,1.2,1,False,True,3,9,2.0,20-40,4-8,"(3.6, 5.4]"
54,Female,Finance,5.9,TikTok,58,4.8,2.9,2.5,7.0,7.0,0.7,4,False,False,1,29,1.8,40-60,4-8,"(5.4, 7.2]"
50,Female,IT,1.6,Facebook,66,8.2,4.2,3.1,2.0,7.4,1.6,0,False,True,3,20,2.5,40-60,0-4,"(-0.018, 1.8]"
39,Other,Health,4.6,Facebook,52,4.4,3.5,1.4,1.0,7.7,1.0,4,False,False,0,22,0.5,20-40,4-8,"(3.6, 5.4]"
38,Female,Unemployed,0.0,Telegram,69,4.4,2.7,2.3,5.0,3.4,1.8,7,True,True,0,9,3.7,20-40,,"(-0.018, 1.8]"
23,Female,Unemployed,2.6,Twitter,60,7.4,3.7,3.8,1.0,3.8,1.3,6,False,False,2,26,2.3,20-40,0-4,"(1.8, 3.6]"
23,Male,IT,4.7,Twitter,65,9.7,5.9,6.7,6.0,6.6,2.6,4,False,True,1,8,8.0,20-40,4-8,"(3.6, 5.4]"
65,Male,Education,4.4,TikTok,69,10.5,8.1,6.9,9.0,6.6,1.0,7,True,False,2,30,7.0,60-80,4-8,"(3.6, 5.4]"
21,Female,Unemployed,3.3,Instagram,67,10.5,9.0,9.1,3.0,4.4,2.1,5,False,False,1,7,10.0,20-40,0-4,"(1.8, 3.6]"
47,Male,Health,5.4,Telegram,66,4.2,8.9,7.9,4.0,7.2,0.6,8,False,True,2,0,7.1,40-60,4-8,"(3.6, 5.4]"
28,Female,Unemployed,1.5,Instagram,70,10.1,6.3,5.3,3.0,7.4,0.9,9,False,False,0,13,5.1,20-40,0-4,"(-0.018, 1.8]"
47,Female,Education,3.2,Telegram,74,8.8,4.7,4.0,2.0,6.4,0.8,3,False,False,1,24,4.6,40-60,0-4,"(1.8, 3.6]"
48,Female,Student,3.5,Instagram,47,9.8,7.4,6.9,9.0,5.3,0.7,10,True,True,2,20,5.8,40-60,0-4,"(1.8, 3.6]"
41,Male,Unemployed,3.8,TikTok,63,6.7,6.9,6.7,1.0,6.7,1.2,1,False,False,6,19,8.2,40-60,0-4,"(3.6, 5.4]"
26,Female,Finance,4.2,TikTok,47,6.2,8.6,7.9,1.0,6.7,1.3,7,False,False,2,9,8.4,20-40,4-8,"(3.6, 5.4]"
20,Female,Education,0.4,Telegram,56,10.0,4.2,3.9,2.0,4.6,0.9,3,True,False,5,17,3.2,0-20,0-4,"(-0.018, 1.8]"
48,Female,Finance,4.4,Facebook,51,8.2,8.7,7.9,8.0,5.4,0.4,3,False,True,1,24,8.3,40-60,4-8,"(3.6, 5.4]"
57,Female,Health,0.6,Telegram,60,10.7,5.6,4.9,6.0,7.4,0.6,2,True,True,1,19,5.0,40-60,0-4,"(-0.018, 1.8]"
54,Other,Student,4.8,TikTok,65,6.5,2.2,2.2,6.0,5.2,0.9,1,True,False,1,26,2.5,40-60,4-8,"(3.6, 5.4]"
53,Female,Finance,6.5,Twitter,53,5.6,6.3,5.9,3.0,6.1,0.7,2,False,False,0,31,6.0,40-60,4-8,"(5.4, 7.2]"
41,Male,Unemployed,6.4,Facebook,48,7.4,5.0,4.6,3.0,7.0,0.8,7,True,False,4,15,4.9,40-60,4-8,"(5.4, 7.2]"
48,Female,IT,6.4,Instagram,60,5.7,6.1,4.6,2.0,6.8,0.5,4,False,False,4,10,4.5,40-60,4-8,"(5.4, 7.2]"
23,Male,Unemployed,6.3,Facebook,58,3.2,7.7,6.8,1.0,9.5,0.3,6,False,False,4,9,7.5,20-40,4-8,"(5.4, 7.2]"
19,Male,Unemployed,2.9,Telegram,75,7.4,4.0,4.5,2.0,7.0,0.6,0,True,False,4,23,5.2,0-20,0-4,"(1.8, 3.6]"
37,Male,Health,0.3,Twitter,68,6.6,8.7,7.1,5.0,4.7,0.9,5,False,False,1,10,6.7,20-40,0-4,"(-0.018, 1.8]"
45,Female,Student,1.2,Telegram,64,8.4,3.8,3.8,6.0,6.4,1.4,4,False,False,6,8,5.4,40-60,0-4,"(-0.018, 1.8]"
28,Male,IT,1.3,Facebook,59,7.0,6.7,6.6,3.0,5.4,0.0,7,False,False,2,16,5.3,20-40,0-4,"(-0.018, 1.8]"
21,Male,IT,5.4,Twitter,51,10.1,3.9,3.8,2.0,5.7,0.9,2,False,False,2,18,4.1,20-40,4-8,"(3.6, 5.4]"
32,Female,Unemployed,1.0,Instagram,73,6.5,2.6,2.2,2.0,6.6,1.4,7,False,False,4,7,2.1,20-40,0-4,"(-0.018, 1.8]"
23,Female,Student,1.9,Telegram,82,10.7,2.3,2.1,9.0,7.0,0.2,5,True,True,2,12,0.3,20-40,0-4,"(1.8, 3.6]"
47,Male,Education,2.9,Instagram,74,8.1,2.9,2.7,7.0,7.6,1.9,0,False,False,0,13,3.7,40-60,0-4,"(1.8, 3.6]"
55,Female,Student,3.6,Facebook,54,6.7,7.1,5.7,5.0,7.8,1.1,4,True,True,2,29,5.8,40-60,0-4,"(1.8, 3.6]"
19,Female,Student,4.1,Telegram,61,0.7,7.9,5.1,4.0,10.0,0.9,0,True,False,3,16,7.5,0-20,4-8,"(3.6, 5.4]"
32,Male,Student,0.0,Telegram,72,9.4,7.9,4.4,3.0,7.6,0.7,0,False,False,1,10,4.9,20-40,,"(-0.018, 1.8]"
28,Female,Finance,2.6,Telegram,61,5.4,7.9,6.4,1.0,5.1,2.0,4,False,False,0,17,3.9,20-40,0-4,"(1.8, 3.6]"
25,Female,Education,2.1,Twitter,61,5.2,3.3,3.1,1.0,5.4,1.9,7,False,False,2,13,3.0,20-40,0-4,"(1.8, 3.6]"
43,Female,Health,3.8,Telegram,70,2.5,4.0,4.0,3.0,10.0,1.0,9,True,False,3,16,2.9,40-60,0-4,"(3.6, 5.4]"
62,Female,IT,0.0,Twitter,54,3.5,4.6,4.4,8.0,5.7,1.7,7,False,True,3,8,4.3,60-80,,"(-0.018, 1.8]"
61,Female,Unemployed,3.3,TikTok,56,8.4,7.9,7.3,8.0,7.9,0.0,8,False,False,2,21,7.7,60-80,0-4,"(1.8, 3.6]"
22,Male,Finance,3.4,Telegram,56,7.4,8.3,7.4,10.0,7.5,1.2,0,False,False,0,17,6.2,20-40,0-4,"(1.8, 3.6]"
23,Female,Education,5.3,TikTok,62,6.4,4.1,3.4,3.0,6.8,0.0,9,True,True,1,4,4.2,20-40,4-8,"(3.6, 5.4]"
43,Male,Student,3.7,Instagram,74,6.1,9.0,8.1,2.0,5.4,1.2,9,False,False,3,1,9.4,40-60,0-4,"(3.6, 5.4]"
21,Male,Unemployed,4.4,Facebook,54,6.9,2.9,2.6,4.0,5.3,0.7,10,False,True,2,18,2.3,20-40,4-8,"(3.6, 5.4]"
36,Male,Unemployed,4.8,Telegram,63,5.3,7.9,6.9,2.0,7.6,0.9,5,False,False,2,13,7.9,20-40,4-8,"(3.6, 5.4]"
37,Female,Finance,5.2,Instagram,76,6.3,5.1,4.3,9.0,9.0,0.6,7,True,True,2,22,4.3,20-40,4-8,"(3.6, 5.4]"
50,Male,Finance,5.6,TikTok,52,4.5,8.9,7.7,1.0,7.2,1.5,10,False,True,2,22,7.8,40-60,4-8,"(5.4, 7.2]"
37,Male,IT,2.0,Twitter,57,6.7,8.8,7.9,9.0,4.4,2.5,5,False,False,2,20,8.6,20-40,0-4,"(1.8, 3.6]"
29,Male,Health,4.5,Twitter,59,7.7,4.6,4.1,5.0,8.6,1.8,3,False,False,5,26,4.6,20-40,4-8,"(3.6, 5.4]"
64,Female,Education,1.1,TikTok,64,9.5,5.1,4.6,2.0,7.7,0.4,8,False,False,4,26,4.9,60-80,0-4,"(-0.018, 1.8]"
18,Female,Unemployed,0.5,Instagram,69,6.7,6.9,5.9,4.0,7.5,1.6,2,False,False,2,5,5.1,0-20,0-4,"(-0.018, 1.8]"
43,Female,Unemployed,0.0,Telegram,63,3.7,7.5,6.8,2.0,6.3,1.2,2,False,False,2,6,6.7,40-60,,"(-0.018, 1.8]"
31,Male,Education,2.8,Instagram,66,8.5,6.6,5.8,3.0,5.3,0.9,0,False,False,0,25,4.9,20-40,0-4,"(1.8, 3.6]"
55,Male,Education,1.3,Twitter,61,9.8,6.6,2.0,4.0,9.6,0.9,5,True,True,1,17,4.0,40-60,0-4,"(-0.018, 1.8]"
54,Female,Student,5.3,Telegram,71,6.7,6.6,5.9,2.0,6.2,1.5,9,True,False,3,26,5.5,40-60,4-8,"(3.6, 5.4]"
28,Female,Student,7.1,TikTok,60,5.8,4.6,4.1,8.0,4.7,1.8,7,False,True,2,31,5.4,20-40,4-8,"(5.4, 7.2]"
53,Male,Finance,0.0,TikTok,49,7.7,3.3,3.4,8.0,6.8,2.2,7,True,False,1,18,2.9,40-60,,"(-0.018, 1.8]"
30,Male,Unemployed,13.5,Facebook,69,6.8,3.0,2.4,9.0,5.3,0.9,5,False,True,1,9,3.1,20-40,12-16,"(12.6, 14.4]"
60,Male,Health,4.8,TikTok,47,2.8,3.9,4.2,5.0,3.3,1.8,1,False,True,3,1,2.8,40-60,4-8,"(3.6, 5.4]"
20,Female,IT,1.5,Facebook,66,5.7,2.9,2.1,6.0,5.4,0.7,2,True,True,1,19,3.1,0-20,0-4,"(-0.018, 1.8]"
50,Male,Unemployed,2.8,TikTok,46,4.2,3.6,2.8,1.0,7.3,1.6,2,False,False,2,16,3.4,40-60,0-4,"(1.8, 3.6]"
23,Female,IT,6.0,Twitter,62,9.6,3.8,3.5,9.0,8.3,0.6,6,False,False,2,6,3.1,20-40,4-8,"(5.4, 7.2]"
27,Male,Health,3.2,Twitter,54,8.8,4.9,4.6,10.0,9.5,1.4,2,False,False,3,5,5.0,20-40,0-4,"(1.8, 3.6]"
22,Male,Education,0.4,Facebook,62,8.8,4.0,4.0,4.0,6.7,1.5,0,True,False,0,0,4.4,20-40,0-4,"(-0.018, 1.8]"
40,Male,Health,6.9,Telegram,52,8.9,6.7,6.2,1.0,5.2,1.1,10,False,False,5,24,8.8,20-40,4-8,"(5.4, 7.2]"
27,Female,IT,4.3,Facebook,55,7.2,8.6,7.6,8.0,8.1,0.7,2,False,True,3,19,7.0,20-40,4-8,"(3.6, 5.4]"
61,Female,Student,3.0,Instagram,64,7.7,8.8,5.3,2.0,4.5,0.3,1,False,False,3,16,10.0,60-80,0-4,"(1.8, 3.6]"
19,Male,Health,1.7,Instagram,57,8.7,3.3,2.9,1.0,9.7,1.0,4,False,True,2,31,7.5,0-20,0-4,"(-0.018, 1.8]"
30,Female,Finance,1.4,Facebook,63,2.9,4.7,4.3,7.0,7.6,1.7,0,False,False,1,8,5.0,20-40,0-4,"(-0.018, 1.8]"
57,Male,Student,0.0,Facebook,52,8.2,6.5,2.5,3.0,4.4,0.7,6,True,False,2,22,3.3,40-60,,"(-0.018, 1.8]"
19,Female,Finance,0.5,Telegram,61,5.7,8.2,8.1,3.0,5.5,1.3,7,False,True,3,8,6.2,0-20,0-4,"(-0.018, 1.8]"
37,Female,Finance,4.4,TikTok,68,1.2,5.3,6.9,10.0,4.7,0.2,9,True,False,1,29,3.7,20-40,4-8,"(3.6, 5.4]"
18,Male,Health,3.9,Twitter,58,8.6,2.3,2.2,8.0,5.3,0.7,3,False,False,0,18,1.2,0-20,0-4,"(3.6, 5.4]"
54,Female,Finance,4.6,TikTok,56,3.7,3.8,3.0,5.0,5.1,1.2,2,False,False,2,9,1.4,40-60,4-8,"(3.6, 5.4]"
26,Female,Unemployed,17.3,Facebook,76,7.5,2.3,1.9,2.0,6.8,0.4,0,False,False,2,25,1.6,20-40,16-20,"(16.2, 18.0]"
34,Male,Education,2.9,Twitter,50,7.7,9.0,7.9,9.0,7.3,1.2,8,False,False,0,28,6.3,20-40,0-4,"(1.8, 3.6]"
26,Female,Health,1.6,Twitter,67,8.2,8.6,7.5,5.0,6.5,0.6,1,False,False,1,14,6.7,20-40,0-4,"(-0.018, 1.8]"
28,Male,IT,2.4,Facebook,62,5.4,6.5,6.3,3.0,5.8,0.5,4,False,False,3,25,6.2,20-40,0-4,"(1.8, 3.6]"
32,Female,Education,4.8,Twitter,63,5.4,8.5,7.2,5.0,5.8,0.7,2,True,False,1,14,8.0,20-40,4-8,"(3.6, 5.4]"
41,Male,Student,4.6,TikTok,67,6.6,6.2,5.7,3.0,7.4,0.6,6,False,False,0,11,4.9,40-60,4-8,"(3.6, 5.4]"
55,Female,Health,3.5,Twitter,66,5.3,3.5,3.2,2.0,8.3,1.2,3,False,True,0,9,4.0,40-60,0-4,"(1.8, 3.6]"
52,Male,IT,1.1,TikTok,62,7.6,8.3,7.3,4.0,5.8,1.3,6,False,False,3,15,6.9,40-60,0-4,"(-0.018, 1.8]"
47,Male,IT,2.0,TikTok,62,6.5,2.7,2.3,7.0,6.4,0.0,0,False,True,0,31,2.4,40-60,0-4,"(1.8, 3.6]"
48,Male,Health,0.3,Instagram,67,7.0,2.5,2.1,1.0,4.5,1.4,1,False,False,5,14,2.3,40-60,0-4,"(-0.018, 1.8]"
22,Male,Education,2.3,Twitter,65,8.6,2.7,1.9,3.0,7.7,1.0,7,False,False,0,7,0.8,20-40,0-4,"(1.8, 3.6]"
61,Female,Unemployed,0.0,Facebook,51,6.5,5.2,7.2,4.0,6.9,0.3,4,False,False,0,31,6.2,60-80,,"(-0.018, 1.8]"
31,Male,IT,2.3,Telegram,60,6.2,7.7,7.8,2.0,5.3,0.4,6,True,False,2,3,8.3,20-40,0-4,"(1.8, 3.6]"
28,Female,Health,1.7,Instagram,52,5.6,8.5,7.6,10.0,5.0,1.1,2,False,False,2,29,8.2,20-40,0-4,"(-0.018, 1.8]"
26,Male,Health,3.0,TikTok,69,6.0,5.5,7.5,10.0,6.5,1.2,4,False,False,1,22,7.6,20-40,0-4,"(1.8, 3.6]"
51,Female,Unemployed,1.4,Instagram,59,7.0,2.5,1.3,1.0,8.1,2.5,6,False,False,3,31,1.4,40-60,0-4,"(-0.018, 1.8]"
29,Female,Finance,4.5,Instagram,64,5.3,6.3,6.3,3.0,6.4,0.0,3,False,False,3,15,5.5,20-40,4-8,"(3.6, 5.4]"
52,Other,Health,0.0,Telegram,58,6.6,6.5,5.4,4.0,6.0,0.0,8,True,False,2,20,6.0,40-60,,"(-0.018, 1.8]"
52,Other,IT,0.0,Facebook,58,7.3,6.5,6.2,4.0,6.8,1.4,9,True,False,2,23,5.9,40-60,,"(-0.018, 1.8]"
18,Female,Finance,2.5,Telegram,55,7.9,8.2,4.7,5.0,7.2,1.1,5,False,False,3,23,7.2,0-20,0-4,"(1.8, 3.6]"
57,Female,IT,3.5,TikTok,49,5.8,3.8,3.2,10.0,4.8,0.9,2,True,False,3,9,5.1,40-60,0-4,"(1.8, 3.6]"
39,Male,Education,2.2,Facebook,48,10.6,3.3,2.3,3.0,6.7,0.7,5,False,False,4,19,1.8,20-40,0-4,"(1.8, 3.6]"
46,Female,Education,2.3,Facebook,69,9.7,3.6,2.9,9.0,8.7,1.7,3,False,False,1,1,3.1,40-60,0-4,"(1.8, 3.6]"
25,Female,IT,3.2,Instagram,64,9.2,4.0,3.1,5.0,10.0,1.1,6,False,True,2,6,3.6,20-40,0-4,"(1.8, 3.6]"
28,Male,Student,4.0,Instagram,70,6.4,8.5,3.9,4.0,6.4,1.3,8,False,True,2,2,7.6,20-40,0-4,"(3.6, 5.4]"
58,Female,Student,3.7,Twitter,53,5.7,5.7,4.8,9.0,6.5,1.6,1,False,True,2,22,5.4,40-60,0-4,"(3.6, 5.4]"
54,Male,Student,3.4,Facebook,65,6.8,3.9,3.9,3.0,8.3,0.8,9,True,False,2,12,4.1,40-60,0-4,"(1.8, 3.6]"
31,Female,IT,5.0,Telegram,67,9.7,8.8,7.9,6.0,10.0,1.0,5,False,True,4,30,5.0,20-40,4-8,"(3.6, 5.4]"
47,Male,Health,0.3,Telegram,59,9.0,7.0,6.9,8.0,3.3,1.1,6,True,False,2,26,6.6,40-60,0-4,"(-0.018, 1.8]"
52,Female,Finance,2.8,Instagram,61,8.1,6.6,5.5,8.0,9.9,0.4,7,False,False,2,21,4.6,40-60,0-4,"(1.8, 3.6]"
38,Female,Health,5.4,Twitter,58,4.5,5.4,5.1,7.0,7.4,0.9,8,True,False,2,28,4.2,20-40,4-8,"(3.6, 5.4]"
54,Other,Unemployed,1.3,Facebook,56,7.9,5.5,4.8,9.0,5.3,1.9,8,True,False,2,23,3.9,40-60,0-4,"(-0.018, 1.8]"
22,Female,IT,4.0,Instagram,60,8.7,8.5,7.7,5.0,5.3,1.2,10,True,True,0,15,9.1,20-40,0-4,"(3.6, 5.4]"
36,Female,Unemployed,0.0,Facebook,59,2.8,7.0,7.1,4.0,8.3,0.3,9,False,True,1,4,7.9,20-40,,"(-0.018, 1.8]"
31,Male,Unemployed,3.6,Instagram,67,9.1,5.6,7.1,1.0,8.6,0.4,9,True,True,3,16,3.4,20-40,0-4,"(1.8, 3.6]"
43,Male,Health,5.7,Twitter,65,8.5,8.4,7.0,5.0,6.3,0.0,0,True,False,2,2,7.3,40-60,4-8,"(5.4, 7.2]"
21,Male,Unemployed,0.9,Facebook,74,7.1,5.3,4.1,5.0,8.4,1.0,2,True,False,1,23,3.0,20-40,0-4,"(-0.018, 1.8]"
42,Male,Education,1.5,Instagram,50,6.2,6.9,6.6,6.0,8.0,0.0,6,True,False,1,12,3.5,40-60,0-4,"(-0.018, 1.8]"
62,Male,Finance,3.7,Twitter,54,6.8,3.6,2.5,3.0,7.7,1.6,4,False,False,1,31,4.0,60-80,0-4,"(3.6, 5.4]"
59,Female,IT,2.3,TikTok,51,8.9,8.8,7.6,10.0,7.9,1.7,10,False,False,0,11,3.8,40-60,0-4,"(1.8, 3.6]"
42,Female,Finance,3.4,Telegram,50,9.9,3.8,4.1,1.0,4.6,1.0,7,True,False,1,22,3.5,40-60,0-4,"(1.8, 3.6]"
35,Female,Student,7.9,Twitter,71,7.9,9.0,8.5,6.0,6.3,0.7,7,True,False,4,23,6.6,20-40,4-8,"(7.2, 9.0]"
57,Male,Student,2.2,Twitter,57,5.9,6.7,6.2,10.0,7.9,1.3,6,False,False,5,29,7.1,40-60,0-4,"(1.8, 3.6]"
25,Male,Education,0.0,Facebook,42,5.8,2.1,2.2,2.0,7.0,1.1,3,False,False,2,3,0.8,20-40,,"(-0.018, 1.8]"
56,Female,IT,1.7,Facebook,60,6.2,5.7,5.1,10.0,6.5,0.7,9,False,False,3,15,2.9,40-60,0-4,"(-0.018, 1.8]"
57,Male,Student,1.1,TikTok,49,6.5,4.4,3.8,3.0,5.4,1.2,5,False,True,2,12,4.0,40-60,0-4,"(-0.018, 1.8]"
31,Male,Finance,0.4,Telegram,50,3.8,4.6,3.5,7.0,3.0,1.0,9,True,False,1,21,2.7,20-40,0-4,"(-0.018, 1.8]"
49,Male,Finance,1.6,Telegram,77,7.5,4.4,4.2,3.0,4.9,0.5,10,False,False,2,25,2.1,40-60,0-4,"(-0.018, 1.8]"
55,Male,Education,5.4,Twitter,76,8.2,3.7,3.6,9.0,7.1,0.2,1,False,False,2,29,2.0,40-60,4-8,"(3.6, 5.4]"
50,Male,Unemployed,3.8,Telegram,55,6.8,4.9,4.2,8.0,7.9,0.2,0,False,True,2,7,2.8,40-60,0-4,"(3.6, 5.4]"
40,Male,Student,2.2,TikTok,62,8.5,5.7,4.9,5.0,5.1,0.0,5,False,False,1,29,3.6,20-40,0-4,"(1.8, 3.6]"
32,Male,Health,2.3,Instagram,64,7.6,3.5,1.9,2.0,6.8,0.4,4,False,False,3,18,1.9,20-40,0-4,"(1.8, 3.6]"
50,Female,Student,0.5,Instagram,62,8.9,8.2,7.2,8.0,6.2,0.9,9,False,False,4,27,6.4,40-60,0-4,"(-0.018, 1.8]"
42,Male,Education,3.5,Facebook,36,6.8,6.5,5.5,3.0,7.9,2.4,3,False,False,2,0,4.6,40-60,0-4,"(1.8, 3.6]"
34,Male,Student,7.8,Instagram,63,6.0,7.2,6.9,4.0,7.2,0.9,1,False,True,1,19,5.9,20-40,4-8,"(7.2, 9.0]"
50,Female,IT,2.3,TikTok,55,9.0,8.6,8.4,5.0,7.9,2.5,8,False,False,4,21,10.0,40-60,0-4,"(1.8, 3.6]"
64,Female,Education,3.1,Twitter,56,9.2,4.1,4.0,2.0,8.2,1.4,3,False,False,1,12,4.6,60-80,0-4,"(1.8, 3.6]"
19,Male,Health,4.0,Facebook,72,8.4,5.6,5.0,3.0,5.0,0.9,10,False,False,4,17,4.8,0-20,0-4,"(3.6, 5.4]"
31,Female,Finance,3.1,TikTok,69,6.5,7.3,7.6,5.0,3.4,0.4,10,False,False,2,16,9.0,20-40,0-4,"(1.8, 3.6]"
57,Male,Student,2.1,Instagram,67,9.9,4.1,4.5,2.0,6.1,0.3,2,False,False,3,6,4.5,40-60,0-4,"(1.8, 3.6]"
57,Male,Unemployed,5.8,TikTok,59,8.3,2.6,2.3,2.0,7.8,0.3,6,False,True,1,17,4.1,40-60,4-8,"(5.4, 7.2]"
56,Other,Finance,0.4,Facebook,60,9.8,2.3,2.1,7.0,6.9,0.4,6,False,False,1,10,3.8,40-60,0-4,"(-0.018, 1.8]"
23,Female,Education,0.8,Twitter,63,4.2,5.1,3.7,7.0,6.1,1.7,4,False,False,2,13,3.4,20-40,0-4,"(-0.018, 1.8]"
23,Male,Finance,4.3,Twitter,61,11.8,4.6,4.6,3.0,6.9,0.7,2,True,False,0,13,4.8,20-40,4-8,"(3.6, 5.4]"
20,Female,Unemployed,2.7,Twitter,63,6.7,6.0,6.2,6.0,5.6,0.4,0,False,False,6,23,6.3,0-20,0-4,"(1.8, 3.6]"
24,Female,Unemployed,0.8,Telegram,58,5.3,6.7,5.9,10.0,9.3,0.0,9,False,True,2,23,5.2,20-40,0-4,"(-0.018, 1.8]"
25,Male,Unemployed,3.6,TikTok,65,6.0,7.6,6.2,3.0,8.6,2.2,3,False,False,2,21,5.8,20-40,0-4,"(1.8, 3.6]"
59,Male,Unemployed,2.3,TikTok,61,7.9,2.8,2.5,3.0,8.3,1.8,5,True,False,1,21,4.9,40-60,0-4,"(1.8, 3.6]"
32,Male,IT,3.3,Telegram,66,8.6,5.3,4.7,2.0,5.3,2.1,6,False,False,3,9,3.6,20-40,0-4,"(1.8, 3.6]"
64,Female,Unemployed,2.4,Facebook,67,9.3,6.1,4.9,8.0,9.2,1.7,9,False,True,4,21,4.5,60-80,0-4,"(1.8, 3.6]"
46,Male,Education,0.0,Facebook,56,7.2,4.4,4.1,6.0,6.5,1.4,5,False,False,2,0,6.0,40-60,,"(-0.018, 1.8]"
50,Female,Education,5.1,Instagram,51,8.5,6.3,6.7,5.0,5.8,0.4,1,False,False,1,1,7.6,40-60,4-8,"(3.6, 5.4]"
47,Male,Student,3.1,Facebook,64,8.5,8.5,7.8,5.0,5.4,0.9,3,False,True,2,9,7.6,40-60,0-4,"(1.8, 3.6]"
56,Male,Education,1.2,Facebook,57,6.9,6.5,6.0,8.0,4.9,1.2,5,True,False,0,29,4.2,40-60,0-4,"(-0.018, 1.8]"
44,Female,IT,6.2,Twitter,55,8.9,7.6,7.0,6.0,3.8,0.0,2,True,False,3,23,8.0,40-60,4-8,"(5.4, 7.2]"
53,Female,Student,3.1,TikTok,55,5.7,5.2,4.9,10.0,8.2,1.3,3,False,False,1,4,6.8,40-60,0-4,"(1.8, 3.6]"
46,Male,IT,0.0,Twitter,59,3.2,5.7,6.0,2.0,6.6,1.3,3,False,False,4,4,5.7,40-60,,"(-0.018, 1.8]"
55,Male,Health,3.9,TikTok,52,7.0,8.2,7.1,5.0,7.1,1.1,7,False,False,1,1,5.6,40-60,0-4,"(3.6, 5.4]"
50,Female,Student,0.0,TikTok,57,7.5,7.7,6.8,8.0,4.9,1.5,2,False,False,2,21,5.2,40-60,,"(-0.018, 1.8]"
54,Male,Education,2.0,TikTok,50,4.9,3.4,4.0,1.0,7.2,0.0,4,False,False,1,24,4.7,40-60,0-4,"(1.8, 3.6]"
44,Male,Education,4.4,Instagram,61,7.8,8.7,7.5,9.0,7.2,1.0,0,False,False,0,6,8.2,40-60,4-8,"(3.6, 5.4]"
50,Female,Education,4.0,Twitter,70,8.8,4.5,3.8,10.0,4.8,1.3,5,False,True,0,27,2.4,40-60,0-4,"(3.6, 5.4]"
21,Female,Health,1.6,Telegram,69,8.1,4.5,3.9,4.0,6.6,0.0,6,False,True,4,22,5.8,20-40,0-4,"(-0.018, 1.8]"
39,Male,IT,4.3,Telegram,62,10.1,6.2,6.2,4.0,5.6,0.2,8,True,True,1,8,3.7,20-40,4-8,"(3.6, 5.4]"
19,Female,Education,4.8,Instagram,60,8.9,2.2,1.6,6.0,7.0,0.3,1,True,False,2,20,1.6,0-20,4-8,"(3.6, 5.4]"
27,Female,Unemployed,1.8,Twitter,83,8.3,8.0,6.7,5.0,3.0,1.5,6,False,False,3,1,7.3,20-40,0-4,"(-0.018, 1.8]"
22,Male,Finance,2.3,Instagram,60,5.2,8.8,8.1,4.0,4.1,0.0,7,False,False,2,24,8.9,20-40,0-4,"(1.8, 3.6]"
27,Female,Unemployed,3.4,Instagram,51,1.2,7.4,6.9,2.0,5.2,0.3,6,False,False,4,22,8.3,20-40,0-4,"(1.8, 3.6]"
50,Male,Education,0.7,Twitter,65,4.7,4.5,3.7,3.0,5.2,1.1,5,False,True,1,1,2.6,40-60,0-4,"(-0.018, 1.8]"
55,Male,Student,2.8,Facebook,57,4.0,4.7,3.7,1.0,8.3,1.5,9,False,True,3,10,2.9,40-60,0-4,"(1.8, 3.6]"
30,Male,Student,5.0,Telegram,58,10.7,6.6,2.8,1.0,8.5,1.7,4,True,False,2,20,3.1,20-40,4-8,"(3.6, 5.4]"
48,Male,Finance,7.6,Telegram,48,3.9,2.3,1.9,5.0,8.6,0.6,10,False,False,3,10,3.4,40-60,4-8,"(7.2, 9.0]"
64,Female,Health,4.2,TikTok,69,9.4,2.8,2.2,5.0,8.3,1.5,1,True,False,2,19,1.1,60-80,4-8,"(3.6, 5.4]"
53,Male,Student,3.5,TikTok,74,7.1,6.9,7.7,5.0,7.2,1.4,0,False,True,1,13,6.3,40-60,0-4,"(1.8, 3.6]"
62,Female,Health,6.7,Telegram,62,3.9,5.8,5.8,4.0,6.3,1.0,5,False,False,1,30,5.9,60-80,4-8,"(5.4, 7.2]"
41,Male,Health,1.1,Twitter,63,7.6,2.4,2.1,3.0,5.6,0.7,10,False,True,3,16,1.6,40-60,0-4,"(-0.018, 1.8]"
32,Male,Finance,2.9,Instagram,73,5.7,4.9,4.0,3.0,6.7,1.9,2,False,True,2,9,3.8,20-40,0-4,"(1.8, 3.6]"
46,Female,Student,4.7,Instagram,66,6.3,4.3,4.2,4.0,7.8,1.9,4,True,False,0,10,3.9,40-60,4-8,"(3.6, 5.4]"
25,Female,Unemployed,1.3,Instagram,44,6.6,7.6,3.5,3.0,7.0,2.3,4,False,False,2,19,6.1,20-40,0-4,"(-0.018, 1.8]"
22,Female,Education,0.0,Twitter,50,4.7,2.8,2.7,1.0,7.8,1.0,3,True,False,2,29,3.3,20-40,,"(-0.018, 1.8]"
46,Female,Unemployed,4.6,Twitter,60,7.4,2.5,2.5,10.0,8.6,1.0,1,True,True,2,1,2.1,40-60,4-8,"(3.6, 5.4]"
64,Male,Unemployed,4.9,Twitter,54,8.8,2.3,1.7,7.0,6.0,1.1,6,False,False,2,0,0.9,60-80,4-8,"(3.6, 5.4]"
